schidkn,pscore,classid,cs,female,nwhite,n
22,0,6317,15,0,1,1
33,0.079981,9700,26,1,1,1
56,0.0305983,16647,21,0,0,1
60,0.1095157,17800,25,1,0,1
45,1.412783,13400,24,0,1,1
33,1.073276,9700,26,0,1,1
45,0.357227,13400,24,0,1,1
16,1.807135,4600,26,0,1,1
50,2.25158,14700,17,1,1,1
33,3.893555,9700,26,0,1,1
33,0.2454068,9837,27,0,1,1
56,0.2021969,16700,23,0,1,1
56,1.867977,16700,23,1,0,1
56,5.226002,16700,23,0,0,1
16,3.324767,4715,25,0,1,1
27,0.1889649,7929,26,1,1,1
27,0.3285471,8031,25,1,1,1
53,1.867977,15600,15,1,1,1
76,1.867977,22669,24,0,0,1
28,0.68799,8334,22,1,1,1
54,1.249718,15900,15,0,0,1
56,6.965768,16551,16,1,1,1
56,0.8361381,16700,23,0,0,1
28,1.002805,8334,22,1,1,1
57,1.002805,17000,20,1,0,1
63,4.021323,18751,22,0,0,1
28,7.897866,8127,15,1,1,1
42,0.9882432,12400,23,0,0,1
35,0.9882432,10300,24,0,0,1
56,0.9882432,16700,23,0,1,1
56,0.840095,16648,23,0,0,1
16,2.531453,4600,26,1,1,1
32,2.531453,9536,22,0,1,1
26,5.445034,7500,17,1,1,1
37,16.50059,11039,24,0,1,1
56,4.173429,16700,23,1,1,1
6,4.173429,1800,23,0,0,1
75,4.173429,22200,16,1,0,1
56,7.117873,16551,16,0,0,1
19,4.173429,5500,26,0,1,1
42,0.9882432,12342,16,0,1,1
61,4.803058,18061,17,0,1,1
16,0.7666099,4600,26,0,1,1
64,0.4265148,19056,19,0,0,1
78,8.049972,22900,24,1,0,1
33,2.531453,9700,26,0,1,1
33,14.32158,9838,27,0,1,1
15,4.803058,4400,15,0,1,1
56,10.13022,16700,23,0,0,1
27,44.21046,7930,27,0,1,1
28,3.817588,8335,23,0,1,1
74,7.391662,22000,24,0,0,1
63,5.076847,18752,21,0,1,1
5,5.076847,1400,24,0,0,1
76,3.317588,22700,23,0,0,1
9,4.447217,2507,13,0,0,1
66,4.447217,19565,14,0,0,1
32,5.718822,9328,16,0,1,1
51,2.805242,15141,25,0,0,1
16,2.360798,4600,26,0,1,1
16,8.323761,4715,25,1,1,1
34,10.40401,9900,15,1,0,1
56,0.854625,16648,23,0,1,1
26,3.317588,7500,17,1,1,1
28,2.015119,8100,15,1,1,1
18,1.675613,5300,22,0,1,1
31,12.50895,9100,21,1,1,1
16,6.527464,4714,26,1,1,1
32,6.527464,9536,22,1,1,1
67,6.527464,20000,18,0,0,1
18,1.675613,5300,22,1,1,1
2,5.076847,500,19,0,0,1
61,6.527464,18100,20,0,0,1
17,2.360798,4900,24,0,1,1
26,3.317588,7500,17,0,1,1
5,1.675613,1400,24,0,0,1
45,15.60771,13400,24,0,1,1
53,0.854625,15700,23,0,0,1
4,12.91659,1100,23,0,0,1
64,5.484489,19056,19,1,0,1
32,3.212884,9329,16,0,1,1
45,6.935106,13300,24,0,1,1
33,1.367205,9700,26,0,1,1
13,2.422761,3800,23,0,0,1
28,16.01535,8126,15,0,1,1
9,11.86103,2712,21,0,0,1
